# Program:featureCounts v2.0.1; Command:"featureCounts" "-T" "20" "-t" "CDS" "-g" "locus" "-a" "/media/lu/lu202306/ref/PAO1forsRNA.gff" "-o" "counts.txt" "PA0806.1-1.sorted.bam" "PA0806.1-2.sorted.bam" "PA0982.1-1.sorted.bam" "PA0982.1-2.sorted.bam" "PA1014.1-1.sorted.bam" "PA1014.1-2.sorted.bam" "PA1270.1-1.sorted.bam" "PA1270.1-2.sorted.bam" "PA1367.1-1.sorted.bam" "PA1367.1-2.sorted.bam" "PA2734.1-1.sorted.bam" "PA2734.1-2.sorted.bam" "PA2736.2-1.sorted.bam" "PA2736.2-2.sorted.bam" "PA3471.1-1.sorted.bam" "PA3471.1-2.sorted.bam" "PA4639.1-1.sorted.bam" "PA4639.1-2.sorted.bam" "PA4640.1-1.sorted.bam" "PA4640.1-2.sorted.bam" "PA4642.1-1.sorted.bam" "PA4642.1-2.sorted.bam" "WTEV-1-1.sorted.bam" "WTEV-1-2.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	PA0806.1-1.sorted.bam	PA0806.1-2.sorted.bam	PA0982.1-1.sorted.bam	PA0982.1-2.sorted.bam	PA1014.1-1.sorted.bam	PA1014.1-2.sorted.bam	PA1270.1-1.sorted.bam	PA1270.1-2.sorted.bam	PA1367.1-1.sorted.bam	PA1367.1-2.sorted.bam	PA2734.1-1.sorted.bam	PA2734.1-2.sorted.bam	PA2736.2-1.sorted.bam	PA2736.2-2.sorted.bam	PA3471.1-1.sorted.bam	PA3471.1-2.sorted.bam	PA4639.1-1.sorted.bam	PA4639.1-2.sorted.bam	PA4640.1-1.sorted.bam	PA4640.1-2.sorted.bam	PA4642.1-1.sorted.bam	PA4642.1-2.sorted.bam	WTEV-1-1.sorted.bam	WTEV-1-2.sorted.bam
PA3017	chromosome	3378512	3378949	+	438	82	43	585	523	392	162	36	31	382	425	255	262	309	334	62	27	85	45	36	31	457	391	323	303
PA3018	chromosome	3378979	3379665	-	687	91	72	162	213	58	28	75	56	69	89	57	21	54	49	69	79	63	113	132	55	337	319	131	106
PA3019	chromosome	3379815	3381737	-	1923	179	199	411	334	138	77	151	134	207	228	119	144	387	270	132	136	192	181	174	166	678	694	784	832
PA3020	chromosome	3381963	3383891	+	1929	108	77	703	753	520	235	85	99	633	898	461	351	963	853	119	66	196	106	116	95	554	638	671	1022
PA3021	chromosome	3383948	3384334	+	387	147	88	1580	1706	429	181	99	52	601	687	322	319	749	610	63	65	162	107	103	94	1064	1044	906	1095
PA3022	chromosome	3384378	3385184	-	807	83	33	1041	1097	641	329	56	26	776	1056	502	370	947	778	52	36	129	42	63	53	730	830	947	869
PA3023	chromosome	3385287	3386195	-	909	31	19	263	208	499	228	21	6	634	937	420	353	840	655	17	13	21	4	11	12	157	145	386	272
PA3024	chromosome	3386270	3387829	-	1560	36	8	304	214	49	25	12	16	51	93	46	31	72	62	11	6	29	16	8	14	161	218	106	85
PA3025	chromosome	3387850	3389430	-	1581	8	12	189	183	73	13	21	13	46	90	23	32	76	62	10	6	14	9	7	6	118	148	123	77
PA3026	chromosome	3389436	3391031	-	1596	21	11	184	212	103	24	17	19	92	154	62	53	131	97	15	12	29	17	26	17	155	188	150	100
PA3027	chromosome	3391208	3392239	+	1032	43	48	289	238	110	50	33	23	127	194	77	57	177	161	41	12	59	37	26	45	352	294	261	350
PA3028	chromosome	3392268	3393485	-	1218	93	97	1226	1397	292	126	97	66	381	457	220	182	449	447	86	49	151	87	84	93	1247	1406	796	750
PA3029	chromosome	3393482	3394021	-	540	96	86	651	657	178	102	78	65	207	275	136	107	290	216	89	45	117	76	86	94	711	718	397	610
PA3030	chromosome	3394088	3394684	+	597	16	15	83	53	52	24	19	13	45	85	45	26	79	50	14	18	30	17	16	22	79	67	109	83
PA3031	chromosome	3394816	3395037	+	222	606	370	3094	3631	2155	956	316	394	2021	2694	1346	1320	2456	2055	471	284	826	424	508	540	2458	2331	1917	3376
PA3032	chromosome	3395325	3396728	-	1404	5	6	269	287	162	64	0	4	186	223	85	79	133	125	4	6	4	3	5	2	34	30	53	59
PA3033	chromosome	3397096	3397374	-	279	2	9	16	26	37	11	0	12	19	55	28	19	40	26	4	0	9	19	16	22	51	51	49	71
PA3034	chromosome	3397381	3397938	-	558	25	31	100	98	86	47	27	27	94	140	72	73	142	122	22	22	57	24	51	37	136	173	123	224
PA3035	chromosome	3398104	3398700	+	597	7	9	97	91	21	6	23	16	14	50	16	18	42	28	16	8	20	13	29	13	174	149	38	38
PA3036	chromosome	3398717	3399649	+	933	10	8	57	50	13	10	16	2	23	37	21	16	33	25	4	12	11	2	7	11	85	94	53	16
PA3037	chromosome	3399649	3400515	+	867	4	0	75	42	23	12	4	12	29	28	23	10	37	36	10	4	17	6	6	6	113	62	37	45
PA3038	chromosome	3400684	3401949	+	1266	57	46	687	738	528	194	59	36	656	850	299	343	685	604	42	29	76	57	63	46	4841	4913	1104	1577
PA3039	chromosome	3402134	3403516	-	1383	10	7	33	11	48	18	17	9	44	63	27	28	44	31	16	10	13	9	8	15	49	25	86	57
PA3040	chromosome	3403812	3404141	+	330	187	79	1990	2211	2390	1228	130	64	2635	3679	2067	1888	4445	3879	123	71	260	86	115	128	973	815	1575	3188
PA3041	chromosome	3404145	3404525	+	381	75	36	840	773	926	387	39	45	1086	1481	861	773	2219	1758	49	31	126	42	38	41	367	349	1180	924
PA3042	chromosome	3404539	3404862	+	324	40	22	300	347	318	164	29	12	411	595	408	369	859	719	18	11	38	24	31	26	164	147	257	408
PA3043	chromosome	3404979	3406310	+	1332	102	74	630	654	453	189	113	82	461	726	292	298	688	602	104	80	192	82	117	111	657	740	686	915
PA3044	chromosome	3406321	3408546	-	2226	17	13	72	139	70	31	17	16	54	87	59	35	77	60	16	4	15	25	6	14	52	80	108	82
PA3045	chromosome	3408560	3409183	-	624	6	0	22	20	4	4	0	2	16	14	13	14	12	5	2	2	0	3	0	6	14	12	19	25
PA3046	chromosome	3409609	3409953	-	345	115	120	275	285	204	102	107	57	182	255	119	106	156	135	97	97	175	110	115	105	503	563	562	526
PA3047	chromosome	3410264	3411694	+	1431	161	109	558	569	377	131	131	100	376	486	189	223	499	369	130	95	212	143	250	169	758	696	696	763
PA3048	chromosome	3411763	3413940	-	2178	103	104	433	488	158	14	101	110	168	199	102	90	260	208	88	68	146	130	111	144	598	559	544	503
PA3049	chromosome	3414401	3414613	+	213	137	19	973	1096	3679	1710	38	13	3369	4872	2510	2346	4461	3831	35	26	176	15	33	18	286	199	1041	1773
PA3050	chromosome	3414701	3415729	-	1029	111	76	287	295	251	90	76	80	232	363	196	142	433	411	90	71	122	124	108	82	459	502	697	821
PA3051	chromosome	3415786	3416067	-	282	15	15	53	29	30	2	7	10	36	22	38	15	26	18	2	5	19	7	15	16	43	67	63	67
PA3052	chromosome	3416061	3417041	+	981	86	97	596	618	456	234	82	83	561	660	350	301	676	587	94	86	173	92	145	116	801	870	754	740
PA3053	chromosome	3417113	3418120	+	1008	45	33	270	328	129	64	39	41	167	245	85	120	195	108	52	38	86	40	55	37	360	326	267	268
PA3054	chromosome	3418288	3420192	+	1905	153	125	1264	1244	242	138	135	112	358	470	197	140	438	410	116	72	230	137	178	195	988	969	603	721
PA3055	chromosome	3420309	3420785	-	477	23	31	341	345	82	26	26	33	95	147	54	49	92	93	28	20	73	24	59	34	306	275	212	178
PA3056	chromosome	3420823	3421299	-	477	29	16	202	136	84	37	10	26	102	162	93	43	84	110	22	14	52	21	22	28	184	201	143	137
PA3057	chromosome	3421425	3421655	+	231	0	3	24	13	14	0	0	0	2	14	6	2	20	4	0	4	2	1	2	1	22	17	2	22
PA3058	chromosome	3421696	3423066	-	1371	10	6	44	39	23	16	2	3	24	39	24	10	42	30	4	5	9	3	2	8	37	28	36	41
PA3059	chromosome	3423068	3424591	-	1524	8	4	22	72	8	5	2	0	10	22	14	10	41	18	4	0	12	2	7	1	46	46	21	31
PA3060	chromosome	3424588	3425577	-	990	4	0	35	35	8	2	8	4	20	21	21	10	33	22	4	4	0	0	4	4	21	32	12	26
PA3061	chromosome	3425555	3426922	-	1368	2	1	33	43	2	2	0	7	15	12	18	14	17	25	4	2	0	6	4	1	40	24	16	25
PA3062	chromosome	3426928	3427446	-	519	0	0	14	10	6	0	0	0	8	5	2	2	8	24	2	0	0	0	0	0	16	18	7	9
PA3063	chromosome	3427486	3431067	-	3582	19	10	41	72	17	6	2	2	28	38	21	17	51	32	6	4	8	4	0	10	60	58	33	45
PA3064	chromosome	3431045	3433891	-	2847	14	10	52	62	18	6	9	6	40	58	20	16	35	22	6	0	14	8	6	6	59	51	48	51
PA3065	chromosome	3434373	3435359	-	987	4	4	24	36	7	2	2	4	25	20	15	4	19	21	11	7	6	2	7	6	51	29	11	13
PA3066	chromosome	3435372	3435944	-	573	23	11	95	120	45	8	0	7	30	60	45	25	48	39	12	2	24	13	7	1	88	92	34	36
PA3067	chromosome	3435987	3436430	-	444	15	10	95	87	23	12	10	2	44	47	16	26	42	37	6	6	18	4	7	6	97	101	30	45
PA3068	chromosome	3436578	3441440	-	4863	2375	1677	65125	68340	8395	3734	1736	1496	8837	12961	5824	5132	12651	10997	1621	1376	3321	1547	2177	1576	55999	55539	11322	14497
PA3069	chromosome	3441713	3442330	-	618	67	49	111	87	103	62	55	60	131	227	108	74	254	202	60	36	107	67	75	79	100	75	261	332
PA3070	chromosome	3442823	3443803	+	981	102	127	551	561	382	218	119	84	453	721	308	307	672	631	129	121	212	104	186	183	879	888	789	958
PA3071	chromosome	3443814	3444752	+	939	42	48	152	197	84	37	53	56	113	161	114	86	153	120	44	31	74	55	46	63	243	218	197	224
PA3072	chromosome	3444749	3445243	+	495	24	5	29	45	16	11	14	8	37	41	9	19	54	63	18	21	15	4	9	5	34	77	45	48
PA3073	chromosome	3445236	3446258	+	1023	20	22	79	83	51	17	28	9	40	67	51	25	64	63	19	24	36	19	15	19	120	118	71	92
PA3074	chromosome	3446255	3448015	+	1761	56	39	150	202	85	35	51	42	128	183	80	73	140	169	70	41	95	36	36	48	213	170	212	253
PA3075	chromosome	3448012	3449643	+	1632	52	48	270	297	100	40	35	53	90	136	74	68	145	150	51	47	77	40	45	39	246	259	208	235
PA3076	chromosome	3449697	3450776	+	1080	42	48	326	376	211	74	25	42	253	367	173	168	386	331	41	19	58	41	42	45	304	296	315	377
PA3077	chromosome	3450838	3451509	+	672	13	33	146	141	48	27	23	20	110	105	42	43	130	56	26	13	32	25	32	35	73	137	80	134
PA3078	chromosome	3451506	3452801	+	1296	27	37	179	175	96	43	42	27	107	138	59	57	138	108	26	14	46	44	36	19	117	140	111	150
PA3079	chromosome	3452872	3455253	-	2382	72	47	1400	1448	131	50	64	54	129	163	111	85	245	192	51	53	126	63	85	49	1095	1294	694	818
PA3080	chromosome	3455266	3456363	-	1098	71	52	669	701	223	91	28	24	159	277	138	91	320	264	52	43	89	73	66	76	752	839	1013	1175
PA3081	chromosome	3456543	3457910	-	1368	177	159	1107	1123	75	27	177	126	106	187	83	53	159	158	138	97	255	174	207	150	1667	1743	713	892
PA3082	chromosome	3457969	3459933	-	1965	339	310	1425	1492	110	62	253	285	118	167	77	82	153	173	172	264	423	211	309	242	2832	3011	806	1170
PA3083	chromosome	3460380	3463037	-	2658	505	514	3805	4192	1680	770	401	369	1681	2787	1294	1215	2591	2241	358	322	686	389	464	481	3797	3851	2643	3516
PA3084	chromosome	3463056	3463856	-	801	87	74	370	382	211	81	67	85	236	314	184	151	365	358	94	79	164	76	92	112	503	588	365	501
PA3085	chromosome	3463889	3464152	-	264	45	46	192	198	108	61	22	43	110	187	106	86	166	174	46	32	68	57	77	39	263	248	121	245
PA3086	chromosome	3464236	3465096	-	861	37	31	198	201	64	24	27	30	84	107	58	51	97	90	20	10	40	12	24	13	197	196	210	148
PA3087	chromosome	3465093	3466073	-	981	60	36	273	316	77	40	33	40	141	144	82	56	234	109	52	27	66	40	47	49	348	404	150	225
PA3088	chromosome	3466073	3466960	-	888	74	47	301	421	208	66	62	47	201	307	117	110	259	154	44	33	98	75	98	79	498	427	345	337
PA3089	chromosome	3467085	3468050	+	966	49	12	329	386	399	135	12	18	419	569	306	282	605	456	21	2	34	8	21	19	165	190	211	215
PA3090	chromosome	3468108	3468965	+	858	8	12	129	124	41	51	9	5	71	98	59	60	127	108	10	18	13	11	6	9	103	132	100	127
PA3091	chromosome	3468988	3470427	-	1440	51	31	510	531	277	88	39	27	326	368	195	187	398	298	13	31	76	23	33	24	664	665	442	492
PA3092	chromosome	3470764	3472803	-	2040	23	19	432	434	54	26	26	8	50	91	37	30	75	67	16	10	42	18	13	19	339	346	163	138
PA3093	chromosome	3473018	3474136	+	1119	41	33	224	199	54	37	44	39	81	115	73	28	146	123	44	52	67	61	55	32	402	362	186	230
PA3094	chromosome	3474133	3475170	+	1038	69	34	230	230	65	53	34	29	127	104	58	51	125	146	46	23	29	37	49	44	348	302	103	138
PA3095	chromosome	3475956	3476480	-	525	29	15	363	310	132	61	8	12	138	224	128	103	269	217	15	10	33	6	14	27	180	197	200	156
PA3096	chromosome	3476482	3477630	-	1149	56	36	829	932	305	160	20	30	434	652	368	305	741	603	25	26	99	39	35	29	563	626	825	533
PA3097	chromosome	3477627	3478628	-	1002	38	18	259	239	102	37	22	16	118	194	95	67	147	186	13	15	40	21	47	13	258	216	296	231
PA3098	chromosome	3478625	3479338	-	714	29	32	462	560	150	77	32	13	233	319	156	128	310	269	12	7	48	22	23	26	388	381	384	259
PA3099	chromosome	3479335	3479724	-	390	13	12	194	161	67	27	9	22	88	116	42	38	109	85	2	3	16	4	14	7	97	159	98	146
PA3100	chromosome	3479721	3480239	-	519	37	15	473	472	186	93	7	15	184	302	161	145	376	284	15	19	20	7	19	12	296	344	259	251
PA3101	chromosome	3480246	3480692	-	447	96	27	1343	1466	417	193	54	33	421	495	306	277	637	483	55	32	103	34	84	55	897	843	583	631
PA3102	chromosome	3480697	3481914	-	1218	47	37	566	616	259	122	27	25	309	407	211	242	521	386	29	31	48	33	30	42	613	615	515	447
PA3103	chromosome	3481914	3483422	-	1509	174	105	2003	1995	865	415	128	95	994	1561	626	575	1379	1172	104	103	235	100	177	103	1806	1945	1495	1599
PA3104	chromosome	3483642	3484349	+	708	59	83	474	442	701	350	103	33	748	1051	507	345	823	747	75	62	116	87	95	90	631	606	873	1228
PA3105	chromosome	3484354	3486330	+	1977	193	148	2469	2621	994	445	175	163	1021	1572	639	636	1498	1141	187	116	240	191	197	159	2374	2316	1517	2107
PA3106	chromosome	3486417	3487184	-	768	105	84	337	419	90	75	85	76	128	231	124	131	235	176	61	52	125	51	97	97	645	553	465	392
PA3107	chromosome	3487181	3488392	-	1212	263	243	1401	1327	311	163	176	137	376	594	278	265	710	578	250	177	398	220	267	239	1855	1977	1176	1223
PA3108	chromosome	3488409	3489914	-	1506	408	314	1380	1711	550	292	260	290	602	905	419	411	1077	848	328	226	500	274	369	309	2525	2499	1797	1924
PA3109	chromosome	3490136	3490678	-	543	42	32	24	50	72	34	26	21	77	101	59	48	91	68	18	28	38	42	42	50	117	96	227	145
PA3110	chromosome	3490752	3491411	-	660	171	113	493	515	405	169	111	105	546	705	301	303	750	604	87	84	170	86	110	112	731	775	1517	1030
PA3111	chromosome	3491415	3492704	-	1290	234	232	701	744	605	206	232	198	915	1156	705	659	1249	907	198	131	244	165	245	185	1140	1250	1017	1142
PA3112	chromosome	3492701	3493573	-	873	335	356	754	770	1121	516	264	223	1355	1921	859	747	1646	1503	212	214	363	244	323	324	1198	1280	1403	1850
PA3113	chromosome	3493842	3494477	-	636	106	84	396	402	252	117	89	68	255	314	210	224	398	358	74	60	131	89	107	75	505	566	653	551
PA3114	chromosome	3494567	3495424	-	858	77	46	215	214	121	46	35	37	102	177	77	41	159	144	66	32	101	83	53	69	269	233	223	249
PA3115	chromosome	3495446	3498205	-	2760	1324	1015	8080	8207	3246	1367	1067	895	3453	4933	2683	2247	5740	4708	985	773	1736	1025	1369	1249	10544	10487	5276	6210
PA3116	chromosome	3498374	3499384	-	1011	40	70	160	191	105	40	42	61	100	135	93	55	153	132	51	46	111	68	65	59	369	314	253	252
PA3117	chromosome	3499486	3500598	-	1113	264	253	1267	1416	651	262	164	168	691	819	430	408	1103	948	171	210	299	242	287	202	2257	2113	1381	1153
PA3118	chromosome	3500668	3501750	-	1083	88	81	817	852	282	99	80	67	357	458	244	203	444	366	77	68	180	100	93	75	793	902	729	663
PA3119	chromosome	3501809	3502372	-	564	43	42	245	270	74	34	32	42	134	159	81	98	216	128	22	23	71	35	51	33	224	213	251	230
PA3120	chromosome	3502642	3503280	-	639	47	52	480	587	210	97	39	43	263	384	204	167	303	240	37	42	66	45	52	46	475	424	302	423
PA3121	chromosome	3503292	3504716	-	1425	176	107	1204	1211	734	349	137	115	775	1091	422	444	897	759	109	88	252	153	187	171	1166	1144	975	1027
PA3122	chromosome	3504879	3505772	+	894	69	28	422	467	206	89	52	51	227	326	147	136	272	242	42	32	70	40	38	66	350	306	283	234
PA3123	chromosome	3505865	3506242	-	378	52	18	963	903	329	125	22	18	382	511	205	236	412	400	25	18	52	14	38	37	379	338	224	203
PA3124	chromosome	3506322	3507233	-	912	39	24	380	387	73	27	25	43	56	109	40	27	77	46	27	26	63	25	22	40	383	380	120	68
PA3125	chromosome	3507345	3508673	+	1329	28	12	110	100	18	16	13	8	20	37	10	0	16	20	16	12	25	10	21	22	127	140	23	29
PA3126	chromosome	3508717	3509166	-	450	31	25	723	792	101	53	19	21	92	159	66	36	93	103	30	16	43	31	39	30	465	398	39	89
PA3127	chromosome	3509324	3510127	+	804	40	52	434	419	151	64	41	40	169	214	89	90	187	143	41	18	63	40	55	48	368	391	256	331
PA3128	chromosome	3510144	3510890	+	747	22	17	340	278	76	25	23	9	86	118	58	62	142	70	21	24	29	27	33	14	180	258	130	108
PA3129	chromosome	3510905	3511864	-	960	53	33	149	139	61	26	26	32	70	131	37	44	109	103	28	37	45	38	47	15	198	198	220	182
PA3130	chromosome	3511957	3512394	-	438	18	7	74	95	44	6	15	8	30	67	11	8	36	16	7	18	11	5	17	16	100	84	79	62
PA3131	chromosome	3512394	3513041	-	648	40	19	137	117	87	41	13	19	83	131	63	63	85	80	28	14	53	23	21	38	177	181	171	137
PA3132	chromosome	3513154	3514011	-	858	5	9	160	135	16	4	4	0	29	51	20	17	56	30	2	0	11	4	7	2	41	72	32	28
PA3133	chromosome	3514023	3514565	-	543	6	4	27	54	20	6	2	0	12	20	12	3	23	13	0	2	9	0	2	6	41	53	15	19
PA3134	chromosome	3515416	3516900	-	1485	172	201	1625	1709	437	187	180	132	457	627	307	274	743	638	168	182	414	195	185	217	2738	2672	1410	1395
PA3135	chromosome	3516938	3517858	-	921	27	28	93	59	77	22	18	41	73	113	31	52	107	112	27	23	36	29	30	54	99	137	137	144
PA3136	chromosome	3517928	3518995	+	1068	2	5	19	13	16	4	11	14	16	22	18	8	30	26	6	13	10	8	14	11	16	17	43	42
PA3137	chromosome	3519045	3520544	+	1500	24	12	72	77	49	8	10	18	57	78	21	30	39	55	18	14	28	13	12	13	77	86	103	72
PA3138	chromosome	3520548	3522560	-	2013	233	153	1354	1236	422	198	167	118	345	495	275	255	528	434	170	109	277	165	182	171	1612	1458	983	1112
PA3139	chromosome	3522748	3523944	+	1197	211	251	683	847	1375	604	294	245	1464	2145	1000	857	1932	1699	247	216	393	203	349	334	1625	1702	2092	2743
PA3140	chromosome	3524161	3524490	-	330	8	8	75	59	58	22	4	8	49	56	30	31	59	28	3	6	19	4	1	17	26	32	37	71
PA3141	chromosome	3524681	3526678	-	1998	440	298	2199	2158	1609	735	295	218	1580	2149	1151	939	1833	1654	283	224	579	300	397	344	2098	2159	3343	2926
PA3142	chromosome	3527429	3527734	-	306	12	6	91	50	82	49	16	7	88	118	70	59	122	88	10	16	23	20	19	21	100	72	137	112
PA3143	chromosome	3527670	3528212	-	543	48	32	106	131	83	20	19	30	48	91	44	40	110	70	6	8	43	27	36	37	78	86	78	148
PA3144	chromosome	3528231	3528350	-	120	7	10	76	105	28	15	9	6	32	27	14	18	40	36	7	2	12	5	8	5	64	85	62	90
PA3145	chromosome	3528428	3529447	-	1020	185	141	1060	1010	606	248	98	162	480	759	337	323	590	542	118	89	237	168	142	140	944	901	1398	1411
PA3146	chromosome	3529508	3530458	-	951	181	134	1018	1106	294	140	127	92	262	350	190	169	288	232	95	67	214	102	154	179	1147	1157	987	1123
PA3147	chromosome	3530467	3531708	-	1242	308	247	1412	1449	470	189	196	163	370	457	344	259	570	496	144	126	375	211	282	203	1497	1593	1449	1501
PA3148	chromosome	3531751	3532815	-	1065	595	407	3191	3457	851	334	296	329	580	815	530	497	843	807	321	253	652	383	453	427	2719	2743	2359	2562
PA3149	chromosome	3532812	3533933	-	1122	222	189	1237	1470	404	210	179	164	367	481	283	302	496	431	168	108	325	163	217	182	1279	1250	1748	1858
PA3150	chromosome	3533948	3535081	-	1134	469	324	2604	3035	863	315	281	224	740	1037	569	513	982	794	245	224	663	308	353	329	2505	2213	2189	3632
PA3151	chromosome	3535216	3535971	-	756	172	120	870	885	356	136	111	87	311	376	213	224	339	258	110	89	186	107	136	96	876	813	967	966
PA3152	chromosome	3535971	3536579	-	609	80	70	748	726	255	108	50	47	163	290	130	125	333	211	49	28	138	78	85	57	555	611	1079	1043
PA3153	chromosome	3536576	3537811	-	1236	97	71	220	260	164	35	60	50	123	173	73	54	149	127	53	45	95	70	62	28	267	192	560	543
PA3154	chromosome	3537808	3539124	-	1317	117	85	456	471	331	135	93	57	329	421	161	219	267	221	59	88	181	85	104	91	514	469	914	982
PA3155	chromosome	3539128	3540207	-	1080	447	283	2756	3241	1055	426	291	267	833	1151	681	584	907	727	267	252	653	323	357	356	2470	2338	1780	2066
PA3156	chromosome	3540210	3540785	-	576	220	117	1280	1430	404	154	117	70	399	511	295	252	476	402	121	98	253	131	166	121	1433	1277	1653	1233
PA3157	chromosome	3540782	3542671	-	1890	187	133	554	600	548	201	155	102	435	646	355	289	492	438	97	128	184	113	151	118	582	565	717	1030
PA3158	chromosome	3542740	3543690	-	951	488	512	3358	3738	1651	768	489	357	1631	2162	1108	1064	2229	1574	409	356	738	474	568	562	3827	3519	3147	5759
PA3159	chromosome	3543764	3545074	-	1311	1598	1321	5658	5972	4098	1663	954	1078	3737	5166	2618	2246	5214	4437	1018	834	2031	1002	1460	1147	6407	6043	12575	13059
PA3160	chromosome	3545881	3546927	-	1047	175	166	986	945	763	299	137	167	686	862	458	346	809	578	120	120	289	152	221	191	984	925	1421	1316
PA3161	chromosome	3547689	3547973	-	285	48	54	479	457	210	74	38	24	216	307	131	125	216	168	62	27	97	53	66	64	611	504	287	362
PA3162	chromosome	3548110	3549789	-	1680	4894	5011	16728	17653	6048	2745	3595	3671	4840	7234	5019	4258	14130	11372	3901	3340	6355	4022	4868	4319	46643	45841	22912	33882
PA3163	chromosome	3550057	3550746	-	690	175	134	913	1012	326	128	128	80	294	453	246	185	389	352	140	113	185	140	160	124	1372	1334	878	964
PA3165	chromosome	3552979	3554088	-	1110	166	175	961	1056	229	135	163	129	246	262	129	180	354	303	138	129	221	189	199	151	1453	1450	1326	1431
PA3166	chromosome	3554157	3555254	-	1098	225	208	1710	1677	416	198	216	222	446	567	286	316	646	566	253	175	347	202	238	222	2118	2022	1730	1900
PA3167	chromosome	3555254	3556339	-	1086	293	239	1948	2091	594	267	193	211	594	786	469	349	928	791	259	169	375	258	355	264	2647	2511	2053	2360
PA3168	chromosome	3556427	3559198	-	2772	1241	1064	6343	6261	2062	879	1038	958	2464	3417	1879	1692	4446	3555	951	796	1692	1031	1239	1125	8836	8684	7109	7685
PA3169	chromosome	3559435	3560511	-	1077	113	123	303	294	145	62	117	123	127	165	131	116	315	222	115	95	189	102	138	173	541	559	770	721
PA3170	chromosome	3560621	3561955	+	1335	140	121	527	535	332	95	120	109	299	428	258	224	532	517	89	95	175	77	130	97	784	771	669	878
PA3171	chromosome	3562106	3562804	+	699	150	132	625	655	299	160	137	114	369	500	256	282	641	491	160	111	243	153	213	208	850	851	906	1229
PA3172	chromosome	3562801	3563481	+	681	75	80	517	526	209	109	89	128	232	341	200	160	503	431	104	85	128	77	127	132	520	641	633	749
PA3173	chromosome	3563546	3564286	+	741	95	130	480	481	161	80	112	118	243	318	214	135	419	340	128	74	189	98	150	157	575	534	695	675
PA3174	chromosome	3564445	3565173	+	729	12	9	29	35	24	10	4	3	24	14	8	6	26	15	13	3	31	4	11	8	28	44	39	87
PA3175	chromosome	3565189	3566124	+	936	2	10	56	73	29	18	12	6	60	78	43	28	64	37	10	7	8	6	13	11	44	42	62	55
PA3176	chromosome	3566163	3567377	+	1215	1	4	37	45	12	14	4	11	19	20	6	9	22	13	0	0	4	2	12	4	36	36	29	29
PA3177	chromosome	3567606	3568529	+	924	38	39	292	323	907	402	37	44	816	1214	467	357	580	551	27	34	63	27	66	61	342	353	313	378
PA3178	chromosome	3568636	3569013	-	378	14	13	83	161	117	44	11	14	120	147	57	63	126	109	6	8	24	10	20	11	137	137	121	101
PA3179	chromosome	3569106	3570266	-	1161	89	103	440	468	333	137	90	42	397	532	278	241	664	559	85	73	132	74	89	75	527	549	796	805
PA3180	chromosome	3570414	3570851	+	438	27	22	121	110	116	68	21	24	85	217	68	55	179	128	26	18	37	14	22	13	100	122	133	190
PA3181	chromosome	3570941	3571603	-	663	343	316	279	329	129	63	311	293	160	258	86	90	217	149	359	291	475	319	422	379	384	376	322	387
PA3182	chromosome	3571621	3572337	-	717	280	285	213	193	86	57	251	237	126	177	80	46	163	116	219	165	308	215	294	257	219	252	280	240
PA3183	chromosome	3572324	3573793	-	1470	857	1000	467	509	437	175	934	974	398	587	226	233	472	351	814	673	1257	955	1039	1127	716	723	979	1084
PA3184	chromosome	3573980	3574837	+	858	57	31	163	156	134	40	44	69	147	222	61	71	134	156	59	50	76	48	63	101	206	188	220	221
PA3185	chromosome	3574846	3575697	-	852	148	125	488	533	374	151	101	66	439	611	334	295	652	518	65	50	182	71	109	74	572	633	692	476
PA3186	chromosome	3575912	3577276	-	1365	139	44	179	163	94	48	58	61	183	201	78	62	146	83	34	21	227	55	56	67	152	174	1243	1285
PA3187	chromosome	3577320	3578480	-	1161	236	87	214	234	112	59	127	142	162	249	134	74	198	157	90	74	306	82	136	94	303	296	2024	1943
PA3188	chromosome	3578513	3579358	-	846	38	19	52	59	36	26	32	13	37	46	23	35	95	57	25	19	57	29	42	15	137	77	371	495
PA3189	chromosome	3579351	3580283	-	933	57	29	65	67	63	22	26	20	62	78	47	33	63	54	14	16	72	26	47	26	133	130	723	719
PA3190	chromosome	3580384	3581646	-	1263	544	255	534	641	1373	574	279	276	1357	1988	1015	985	1986	1771	228	162	661	213	310	256	754	697	5508	7675
PA3191	chromosome	3582171	3583592	-	1422	52	67	163	178	24	14	61	69	64	62	39	34	36	55	44	54	72	41	64	58	188	245	153	155
PA3192	chromosome	3583616	3584344	-	729	106	116	305	259	40	16	101	74	47	88	35	28	62	36	80	57	97	91	108	94	321	326	234	286
PA3193	chromosome	3584379	3585374	-	996	216	213	336	355	104	44	205	198	156	165	96	80	173	152	187	125	254	204	244	222	603	623	488	515
PA3194	chromosome	3585477	3587303	-	1827	770	783	667	682	288	107	831	736	239	355	163	177	287	309	706	571	1022	755	981	861	896	825	1303	1434
PA3195	chromosome	3587433	3588437	+	1005	553	599	506	522	367	173	549	530	334	611	248	234	420	386	431	432	667	515	714	719	853	788	1061	1427
PA3196	chromosome	3588741	3589271	-	531	45	55	141	107	30	30	51	51	77	98	45	44	94	83	27	30	75	59	32	51	144	143	166	200
PA3197	chromosome	3589352	3590350	-	999	63	55	215	198	129	83	45	23	133	212	122	84	246	177	36	26	98	44	62	68	246	238	361	356
